User's manual r01uh0186ej0330-rl78g14; Version 1.00; November 15, 2016
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
TMR11,6.3.3 Timer mode register mn (TMRmn),Figure6-12FormatofTimermoderegistermn(TMRmn)(1/4),,,
TMR12,6.3.3 Timer mode register mn (TMRmn),Figure6-12FormatofTimermoderegistermn(TMRmn)(1/4),,,
TMR13,6.3.3 Timer mode register mn (TMRmn),Figure6-12FormatofTimermoderegistermn(TMRmn)(1/4),,,
TSR10,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TSR10L,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TSR11,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TSR11L,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TSR12,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TSR12L,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TSR13,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TSR13L,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TE1,6.3.5 Timer channel enable status register m (TEm),Figure6-17FormatofTimerchannelenablestatusregisterm(TEm),,,
TE1L,6.3.5 Timer channel enable status register m (TEm),Figure6-17FormatofTimerchannelenablestatusregisterm(TEm),,,
TS1,6.3.6 Timer channel start register m (TSm),Figure6-18FormatofTimerchannelstartregisterm(TSm),,,
TS1L,6.3.6 Timer channel start register m (TSm),Figure6-18FormatofTimerchannelstartregisterm(TSm),,,
TT1,6.3.7 Timer channel stop register m (TTm),Figure6-19FormatofTimerchannelstopregisterm(TTm),,,
TT1L,6.3.7 Timer channel stop register m (TTm),Figure6-19FormatofTimerchannelstopregisterm(TTm),,,
TPS1,6.3.2 Timer clock select register m (TPSm),Figure6-10FormatofTimerclockselectregisterm(TPSm)(1/2),,,
TO1,6.3.10 Timer output register m (TOm),Figure6-22FormatofTimeroutputregisterm(TOm),,,
TO1L,6.3.10 Timer output register m (TOm),Figure6-22FormatofTimeroutputregisterm(TOm),,,
TOE1,6.3.9 Timer output enable register m (TOEm),Figure6-21FormatofTimeroutputenableregisterm(TOEm),,,
TOE1L,6.3.9 Timer output enable register m (TOEm),Figure6-21FormatofTimeroutputenableregisterm(TOEm),,,
TOL1,6.3.11 Timer output level register m (TOLm),Figure6-23FormatofTimeroutputlevelregisterm(TOLm),,,
TOL1L,6.3.11 Timer output level register m (TOLm),Figure6-23FormatofTimeroutputlevelregisterm(TOLm),,,
TOM1,6.3.12 Timer output mode register m (TOMm),Figure6-24FormatofTimeroutputmoderegisterm(TOMm),,,
TOM1L,6.3.12 Timer output mode register m (TOMm),Figure6-24FormatofTimeroutputmoderegisterm(TOMm),,,
IICCTL00,18.3.2 IICA control register n0 (IICCTLn0),Figure18-6FormatofIICAcontrolregistern0(IICCTLn0)(1/4),,,
SPT0,18.3.2 IICA control register n0 (IICCTLn0),Figure18-9FormatofIICAcontrolregistern0(IICCTLn0)(4/4),1,,SPTn
STT0,18.3.2 IICA control register n0 (IICCTLn0),Figure18-8FormatofIICAcontrolregistern0(IICCTLn0)(3/4),1,,STTn
ACKE0,18.3.2 IICA control register n0 (IICCTLn0),Figure18-7FormatofIICAcontrolregistern0(IICCTLn0)(2/4),1,,ACKEn
WTIM0,18.3.2 IICA control register n0 (IICCTLn0),Figure18-7FormatofIICAcontrolregistern0(IICCTLn0)(2/4),1,,WTIMn
SPIE0,18.3.2 IICA control register n0 (IICCTLn0),Figure18-7FormatofIICAcontrolregistern0(IICCTLn0)(2/4),1,,SPIEn
WREL0,18.3.2 IICA control register n0 (IICCTLn0),Figure18-6FormatofIICAcontrolregistern0(IICCTLn0)(1/4),2,,WRELn
LREL0,18.3.2 IICA control register n0 (IICCTLn0),Figure18-6FormatofIICAcontrolregistern0(IICCTLn0)(1/4),2,,LRELn
IICE0,18.3.2 IICA control register n0 (IICCTLn0),Figure18-6FormatofIICAcontrolregistern0(IICCTLn0)(1/4),2,,IICEn
IICCTL01,18.3.5 IICA control register n1 (IICCTLn1),Figure18-14FormatofIICAcontrolregistern1(IICCTLn1)(1/2),,,
PRS0,18.3.5 IICA control register n1 (IICCTLn1),Figure18-15FormatofIICAcontrolregistern1(IICCTLn1)(2/2),1,,PRSn
DFC0,18.3.5 IICA control register n1 (IICCTLn1),Figure18-15FormatofIICAcontrolregistern1(IICCTLn1)(2/2),1,,DFCn
SMC0,18.3.5 IICA control register n1 (IICCTLn1),Figure18-15FormatofIICAcontrolregistern1(IICCTLn1)(2/2),1,,SMCn
DAD0,18.3.5 IICA control register n1 (IICCTLn1),Figure18-15FormatofIICAcontrolregistern1(IICCTLn1)(2/2),1,,DADn
CLD0,18.3.5 IICA control register n1 (IICCTLn1),Figure18-15FormatofIICAcontrolregistern1(IICCTLn1)(2/2),1,,CLDn
WUP0,18.3.5 IICA control register n1 (IICCTLn1),Figure18-14FormatofIICAcontrolregistern1(IICCTLn1)(1/2),2,,WUPn
IICWL0,18.3.6 IICA low-level width setting register n (IICWLn),Figure18-16FormatofIICAlow-levelwidthsettingregistern(IICWLn),,,
IICWH0,18.3.7 IICA high-level width setting register n (IICWHn),Figure18-17FormatofIICAhigh-levelwidthsettingregistern(IICWHn),,,
SVA0,18.2 Configuration of Serial Interface IICA,Figure18-4FormatofSlaveaddressregistern(SVAn),,,
IICCTL10,18.3.2 IICA control register n0 (IICCTLn0),Figure18-6FormatofIICAcontrolregistern0(IICCTLn0)(1/4),,,
SPT1,18.3.2 IICA control register n0 (IICCTLn0),Figure18-9FormatofIICAcontrolregistern0(IICCTLn0)(4/4),1,,SPTn
STT1,18.3.2 IICA control register n0 (IICCTLn0),Figure18-8FormatofIICAcontrolregistern0(IICCTLn0)(3/4),1,,STTn
ACKE1,18.3.2 IICA control register n0 (IICCTLn0),Figure18-7FormatofIICAcontrolregistern0(IICCTLn0)(2/4),1,,ACKEn
WTIM1,18.3.2 IICA control register n0 (IICCTLn0),Figure18-7FormatofIICAcontrolregistern0(IICCTLn0)(2/4),1,,WTIMn
SPIE1,18.3.2 IICA control register n0 (IICCTLn0),Figure18-7FormatofIICAcontrolregistern0(IICCTLn0)(2/4),1,,SPIEn
WREL1,18.3.2 IICA control register n0 (IICCTLn0),Figure18-6FormatofIICAcontrolregistern0(IICCTLn0)(1/4),2,,WRELn
LREL1,18.3.2 IICA control register n0 (IICCTLn0),Figure18-6FormatofIICAcontrolregistern0(IICCTLn0)(1/4),2,,LRELn
IICE1,18.3.2 IICA control register n0 (IICCTLn0),Figure18-6FormatofIICAcontrolregistern0(IICCTLn0)(1/4),2,,IICEn
IICCTL11,18.3.5 IICA control register n1 (IICCTLn1),Figure18-14FormatofIICAcontrolregistern1(IICCTLn1)(1/2),,,
PRS1,18.3.5 IICA control register n1 (IICCTLn1),Figure18-15FormatofIICAcontrolregistern1(IICCTLn1)(2/2),1,,PRSn
DFC1,18.3.5 IICA control register n1 (IICCTLn1),Figure18-15FormatofIICAcontrolregistern1(IICCTLn1)(2/2),1,,DFCn
SMC1,18.3.5 IICA control register n1 (IICCTLn1),Figure18-15FormatofIICAcontrolregistern1(IICCTLn1)(2/2),1,,SMCn
DAD1,18.3.5 IICA control register n1 (IICCTLn1),Figure18-15FormatofIICAcontrolregistern1(IICCTLn1)(2/2),1,,DADn
CLD1,18.3.5 IICA control register n1 (IICCTLn1),Figure18-15FormatofIICAcontrolregistern1(IICCTLn1)(2/2),1,,CLDn
WUP1,18.3.5 IICA control register n1 (IICCTLn1),Figure18-14FormatofIICAcontrolregistern1(IICCTLn1)(1/2),2,,WUPn
IICWL1,18.3.6 IICA low-level width setting register n (IICWLn),Figure18-16FormatofIICAlow-levelwidthsettingregistern(IICWLn),,,
IICWH1,18.3.7 IICA high-level width setting register n (IICWHn),Figure18-17FormatofIICAhigh-levelwidthsettingregistern(IICWHn),,,
SVA1,18.2 Configuration of Serial Interface IICA,Figure18-4FormatofSlaveaddressregistern(SVAn),,,
TRJCR0,7.3.4 Timer RJ control register 0 (TRJCR0),Figure7-5FormatofTimerRJcontrolregister0(TRJCR0),,,
TRJIOC0,7.3.5 Timer RJ I/O control register 0 (TRJIOC0),Figure7-6FormatofTimerRJI/Ocontrolregister0(TRJIOC0),,,
TRJMR0,7.3.6 Timer RJ mode register 0 (TRJMR0),Figure7-7FormatofTimerRJmoderegister0(TRJMR0),,,
TRJISR0,7.3.7 Timer RJ event pin select register 0 (TRJISR0),Figure7-8FormatofTimerRJeventpinselectregister0(TRJISR0),,,
TRGMR,9.3.2 Timer RG mode register (TRGMR),Figure9-3FormatofTimerRGmoderegister(TRGMR),,,
TRGPWM,9.3.2 Timer RG mode register (TRGMR),Figure9-3FormatofTimerRGmoderegister(TRGMR),2,,
TRGMDF,9.3.2 Timer RG mode register (TRGMR),Figure9-3FormatofTimerRGmoderegister(TRGMR),2,,
TRGDFA,9.3.2 Timer RG mode register (TRGMR),Figure9-3FormatofTimerRGmoderegister(TRGMR),2,,
TRGDFB,9.3.2 Timer RG mode register (TRGMR),Figure9-3FormatofTimerRGmoderegister(TRGMR),2,,
TRGDFCK0,9.3.2 Timer RG mode register (TRGMR),Figure9-3FormatofTimerRGmoderegister(TRGMR),2,,TRGDFCK1
TRGDFCK1,9.3.2 Timer RG mode register (TRGMR),Figure9-3FormatofTimerRGmoderegister(TRGMR),2,,
TRGELCICE,9.3.2 Timer RG mode register (TRGMR),Figure9-3FormatofTimerRGmoderegister(TRGMR),2,,
TRGSTART,9.3.2 Timer RG mode register (TRGMR),Figure9-3FormatofTimerRGmoderegister(TRGMR),2,,
TRGCNTC,9.3.3 Timer RG count control register (TRGCNTC),Figure9-4FormatofTimerRGcountcontrolregister(TRGCNTC),,,
TRGCR,9.3.4 Timer RG control register (TRGCR),Figure9-5FormatofTimerRGcontrolregister(TRGCR),,,
TRGTCK0,9.3.4 Timer RG control register (TRGCR),Figure9-5FormatofTimerRGcontrolregister(TRGCR),2,,TRGTCK2
TRGTCK1,9.3.4 Timer RG control register (TRGCR),Figure9-5FormatofTimerRGcontrolregister(TRGCR),2,,TRGTCK2
TRGTCK2,9.3.4 Timer RG control register (TRGCR),Figure9-5FormatofTimerRGcontrolregister(TRGCR),2,,
TRGCKEG0,9.3.4 Timer RG control register (TRGCR),Figure9-5FormatofTimerRGcontrolregister(TRGCR),2,,TRGCKEG1
TRGCKEG1,9.3.4 Timer RG control register (TRGCR),Figure9-5FormatofTimerRGcontrolregister(TRGCR),2,,
TRGCCLR0,9.3.4 Timer RG control register (TRGCR),Figure9-5FormatofTimerRGcontrolregister(TRGCR),2,,TRGCCLR1
TRGCCLR1,9.3.4 Timer RG control register (TRGCR),Figure9-5FormatofTimerRGcontrolregister(TRGCR),2,,
TRGIER,9.3.5 Timer RG interrupt enable register (TRGIER),Figure9-6FormatofTimerRGinterruptenableregister(TRGIER),,,
TRGIMIEA,9.3.5 Timer RG interrupt enable register (TRGIER),Figure9-6FormatofTimerRGinterruptenableregister(TRGIER),2,,
TRGIMIEB,9.3.5 Timer RG interrupt enable register (TRGIER),Figure9-6FormatofTimerRGinterruptenableregister(TRGIER),2,,
TRGUDIE,9.3.5 Timer RG interrupt enable register (TRGIER),Figure9-6FormatofTimerRGinterruptenableregister(TRGIER),2,,
TRGOVIE,9.3.5 Timer RG interrupt enable register (TRGIER),Figure9-6FormatofTimerRGinterruptenableregister(TRGIER),2,,
TRGSR,9.3.6 Timer RG status register (TRGSR),Figure9-7FormatofTimerRGstatusregister(TRGSR),,,
TRGIMFA,9.3.6 Timer RG status register (TRGSR),Figure9-7FormatofTimerRGstatusregister(TRGSR),2,,
TRGIMFB,9.3.6 Timer RG status register (TRGSR),Figure9-7FormatofTimerRGstatusregister(TRGSR),2,,
TRGUDF,9.3.6 Timer RG status register (TRGSR),Figure9-7FormatofTimerRGstatusregister(TRGSR),2,,
TRGOVF,9.3.6 Timer RG status register (TRGSR),Figure9-7FormatofTimerRGstatusregister(TRGSR),2,,
TRGDIRF,9.3.6 Timer RG status register (TRGSR),Figure9-7FormatofTimerRGstatusregister(TRGSR),2,,
TRGIOR,9.3.7 Timer RG I/O control register (TRGIOR),Figure9-8FormatofTimerRGI/Ocontrolregister(TRGIOR),,,
TRGIOA0,9.3.7 Timer RG I/O control register (TRGIOR),Figure9-8FormatofTimerRGI/Ocontrolregister(TRGIOR),2,,TRGIOA1
TRGIOA1,9.3.7 Timer RG I/O control register (TRGIOR),Figure9-8FormatofTimerRGI/Ocontrolregister(TRGIOR),2,,
TRGIOA2,9.3.7 Timer RG I/O control register (TRGIOR),Figure9-8FormatofTimerRGI/Ocontrolregister(TRGIOR),2,,
TRGBUFA,9.3.7 Timer RG I/O control register (TRGIOR),Figure9-8FormatofTimerRGI/Ocontrolregister(TRGIOR),2,,
TRGIOB0,9.3.7 Timer RG I/O control register (TRGIOR),Figure9-8FormatofTimerRGI/Ocontrolregister(TRGIOR),2,,TRGIOB1
TRGIOB1,9.3.7 Timer RG I/O control register (TRGIOR),Figure9-8FormatofTimerRGI/Ocontrolregister(TRGIOR),2,,
TRGIOB2,9.3.7 Timer RG I/O control register (TRGIOR),Figure9-8FormatofTimerRGI/Ocontrolregister(TRGIOR),2,,
TRGBUFB,9.3.7 Timer RG I/O control register (TRGIOR),Figure9-8FormatofTimerRGI/Ocontrolregister(TRGIOR),2,,
TRG,9.3.8 Timer RG counter (TRG),Figure9-9FormatofTimerRGcounter(TRG),,,
TRGGRA,"9.3.9 Timer RG general registers A, B, C, and D (TRGGRA, TRGGRB, TRGGRC, TRGGRD)","Figure9-10FormatofTimerRGgeneralregistersA,B,C,andD(TRGGRA,TRGGRB,TRGGRC,TRGGRD)",,,
TRGGRB,"9.3.9 Timer RG general registers A, B, C, and D (TRGGRA, TRGGRB, TRGGRC, TRGGRD)","Figure9-10FormatofTimerRGgeneralregistersA,B,C,andD(TRGGRA,TRGGRB,TRGGRC,TRGGRD)",,,
TRDELC,8.3.2 Timer RD ELC register (TRDELC),Figure8-3FormatofTimerRDELCregister(TRDELC),,,
TRDSTR,8.3.3 Timer RD start register (TRDSTR),Figure8-4FormatofTimerRDstartregister(TRDSTR),,,
TRDMR,8.3.4 Timer RD mode register (TRDMR),Figure8-5FormatofTimerRDmoderegister(TRDMR),,,
TRDSYNC,8.3.4 Timer RD mode register (TRDMR),Figure8-5FormatofTimerRDmoderegister(TRDMR),2,,
TRDBFC0,8.3.4 Timer RD mode register (TRDMR),Figure8-5FormatofTimerRDmoderegister(TRDMR),2,,
TRDBFD0,8.3.4 Timer RD mode register (TRDMR),Figure8-5FormatofTimerRDmoderegister(TRDMR),2,,
TRDBFC1,8.3.4 Timer RD mode register (TRDMR),Figure8-5FormatofTimerRDmoderegister(TRDMR),2,,
TRDBFD1,8.3.4 Timer RD mode register (TRDMR),Figure8-5FormatofTimerRDmoderegister(TRDMR),2,,
TRDPMR,8.3.5 Timer RD PWM function select register (TRDPMR),Figure8-6FormatofTimerRDPWMfunctionselectregister(TRDPMR)[TimerMode],,,
TRDPWMB0,8.3.5 Timer RD PWM function select register (TRDPMR),Figure8-6FormatofTimerRDPWMfunctionselectregister(TRDPMR)[TimerMode],2,,
TRDPWMC0,8.3.5 Timer RD PWM function select register (TRDPMR),Figure8-6FormatofTimerRDPWMfunctionselectregister(TRDPMR)[TimerMode],2,,
TRDPWMD0,8.3.5 Timer RD PWM function select register (TRDPMR),Figure8-6FormatofTimerRDPWMfunctionselectregister(TRDPMR)[TimerMode],2,,
TRDPWMB1,8.3.5 Timer RD PWM function select register (TRDPMR),Figure8-6FormatofTimerRDPWMfunctionselectregister(TRDPMR)[TimerMode],2,,
TRDPWMC1,8.3.5 Timer RD PWM function select register (TRDPMR),Figure8-6FormatofTimerRDPWMfunctionselectregister(TRDPMR)[TimerMode],2,,
TRDPWMD1,8.3.5 Timer RD PWM function select register (TRDPMR),Figure8-6FormatofTimerRDPWMfunctionselectregister(TRDPMR)[TimerMode],2,,
TRDFCR,8.3.6 Timer RD function control register (TRDFCR),Figure8-7FormatofTimerRDfunctioncontrolregister(TRDFCR),,,
TRDOER1,8.3.7 Timer RD output master enable register 1 (TRDOER1),Figure8-8FormatofTimerRDoutputmasterenableregister1(TRDOER1),,,
TRDOER2,8.3.8 Timer RD output master enable register 2 (TRDOER2),Figure8-9FormatofTimerRDoutputmasterenableregister2(TRDOER2),,,
TRDSHUTS,8.3.8 Timer RD output master enable register 2 (TRDOER2),Figure8-9FormatofTimerRDoutputmasterenableregister2(TRDOER2),3,,
TRDPTO,8.3.8 Timer RD output master enable register 2 (TRDOER2),Figure8-9FormatofTimerRDoutputmasterenableregister2(TRDOER2),2,,
TRDOCR,8.3.9 Timer RD output control register (TRDOCR),Figure8-10FormatofTimerRDoutputcontrolregister(TRDOCR)[OutputCompareFunction],,,
TRDDF0,8.3.10 Timer RD digital filter function select register i (TRDDFi) (i = 0 or 1),Figure8-14FormatofTimerRDdigitalfilterfunctionselectregisteri(TRDDFi)(i=0or1),,,
TRDDF1,8.3.10 Timer RD digital filter function select register i (TRDDFi) (i = 0 or 1),Figure8-14FormatofTimerRDdigitalfilterfunctionselectregisteri(TRDDFi)(i=0or1),,,
TRDCR0,8.3.11 Timer RD control register i (TRDCRi) (i = 0 or 1),Figure8-16FormatofTimerRDcontrolregisteri(TRDCRi)(i=0or1),,,
TRDIORA0,8.3.12 Timer RD I/O control register Ai (TRDIORAi) (i = 0 or 1),Figure8-21FormatofTimerRDI/OcontrolregisterAi(TRDIORAi)(i=0or1)[InputCaptureFunction],,,
TRDIORC0,8.3.13 Timer RD I/O control register Ci (TRDIORCi) (i = 0 or 1),Figure8-24FormatofTimerRDI/OcontrolregisterCi(TRDIORCi)(i=0or1)[OutputCompareFunction],,,
TRDSR0,8.3.14 Timer RD status register 0 (TRDSR0),Figure8-25FormatofTimerRDstatusregister0(TRDSR0)[InputCaptureFunction],,,
TRDIER0,8.3.16 Timer RD interrupt enable register i (TRDIERi) (i = 0 or 1),Figure8-29FormatofTimerRDinterruptenableregisteri(TRDIERi)(i=0or1),,,
TRDPOCR0,8.3.17 Timer RD PWM function output level control register i (TRDPOCRi) (i = 0 or 1),Figure8-30FormatofTimerRDPWMfunctionoutputlevelcontrolregisteri(TRDPOCRi)(i=0or1),,,
TRD0,8.3.18 Timer RD counter i (TRDi) (i = 0 or 1),Figure8-31FormatofTimerRDcounteri(TRDi)(i=0or1)[TimerMode],,,
TRDGRA0,"8.3.19 Timer RD general registers Ai, Bi, Ci, and Di (TRDGRAi, TRDGRBi,TRDGRCi, TRDGRDi) (i = 0 or 1) [Input Capture Function]","Figure8-35FormatofTimerRDgeneralregistersAi,Bi,Ci,andDi(TRDGRAi,TRDGRBi,TRDGRCi,TRDGRDi)",,,
TRDGRB0,"8.3.19 Timer RD general registers Ai, Bi, Ci, and Di (TRDGRAi, TRDGRBi,TRDGRCi, TRDGRDi) (i = 0 or 1) [Input Capture Function]","Figure8-35FormatofTimerRDgeneralregistersAi,Bi,Ci,andDi(TRDGRAi,TRDGRBi,TRDGRCi,TRDGRDi)",,,
TRDCR1,8.3.11 Timer RD control register i (TRDCRi) (i = 0 or 1),Figure8-16FormatofTimerRDcontrolregisteri(TRDCRi)(i=0or1),,,
TRDIORA1,8.3.12 Timer RD I/O control register Ai (TRDIORAi) (i = 0 or 1),Figure8-21FormatofTimerRDI/OcontrolregisterAi(TRDIORAi)(i=0or1)[InputCaptureFunction],,,
TRDIORC1,8.3.13 Timer RD I/O control register Ci (TRDIORCi) (i = 0 or 1),Figure8-24FormatofTimerRDI/OcontrolregisterCi(TRDIORCi)(i=0or1)[OutputCompareFunction],,,
TRDSR1,8.3.15 Timer RD status register 1 (TRDSR1),Figure8-27FormatofTimerRDstatusregister1(TRDSR1)[InputCaptureFunction],,,
TRDIER1,8.3.16 Timer RD interrupt enable register i (TRDIERi) (i = 0 or 1),Figure8-29FormatofTimerRDinterruptenableregisteri(TRDIERi)(i=0or1),,,
TRDPOCR1,8.3.17 Timer RD PWM function output level control register i (TRDPOCRi) (i = 0 or 1),Figure8-30FormatofTimerRDPWMfunctionoutputlevelcontrolregisteri(TRDPOCRi)(i=0or1),,,
TRD1,8.3.18 Timer RD counter i (TRDi) (i = 0 or 1),Figure8-31FormatofTimerRDcounteri(TRDi)(i=0or1)[TimerMode],,,
TRDGRA1,"8.3.19 Timer RD general registers Ai, Bi, Ci, and Di (TRDGRAi, TRDGRBi,TRDGRCi, TRDGRDi) (i = 0 or 1) [Input Capture Function]","Figure8-35FormatofTimerRDgeneralregistersAi,Bi,Ci,andDi(TRDGRAi,TRDGRBi,TRDGRCi,TRDGRDi)",,,
TRDGRB1,"8.3.19 Timer RD general registers Ai, Bi, Ci, and Di (TRDGRAi, TRDGRBi,TRDGRCi, TRDGRDi) (i = 0 or 1) [Input Capture Function]","Figure8-35FormatofTimerRDgeneralregistersAi,Bi,Ci,andDi(TRDGRAi,TRDGRBi,TRDGRCi,TRDGRDi)",,,
DTCBAR,19.3.12 DTC base address register (DTCBAR),Figure19-13FormatofDTCbaseaddressregister(DTCBAR),,,
DTCEN0,19.3.11 DTC activation enable register i (DTCENi) (i = 0 to 4),Figure19-12FormatofDTCactivationenableregisteri(DTCENi)(i=0to4),,,
DTCEN1,19.3.11 DTC activation enable register i (DTCENi) (i = 0 to 4),Figure19-12FormatofDTCactivationenableregisteri(DTCENi)(i=0to4),,,
DTCEN2,19.3.11 DTC activation enable register i (DTCENi) (i = 0 to 4),Figure19-12FormatofDTCactivationenableregisteri(DTCENi)(i=0to4),,,
DTCEN3,19.3.11 DTC activation enable register i (DTCENi) (i = 0 to 4),Figure19-12FormatofDTCactivationenableregisteri(DTCENi)(i=0to4),,,
DTCEN4,19.3.11 DTC activation enable register i (DTCENi) (i = 0 to 4),Figure19-12FormatofDTCactivationenableregisteri(DTCENi)(i=0to4),,,
CRC0CTL,27.3.1 Flash memory CRC operation function (high-speed CRC),Figure27-1FormatofFlashmemoryCRCcontrolregister(CRC0CTL),,,
CRC0EN,27.3.1 Flash memory CRC operation function (high-speed CRC),Figure27-1FormatofFlashmemoryCRCcontrolregister(CRC0CTL),2,,
PGCRCL,27.3.1 Flash memory CRC operation function (high-speed CRC),Figure27-2FormatofFlashmemoryCRCoperationresultregister(PGCRCL),,,
CRCD,27.3.2 CRC operation function (general-purpose CRC),Figure27-5FormatofCRCdataregister(CRCD),,,
ELSELR00,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR01,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR02,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR03,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR04,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR05,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR06,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR07,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR08,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR09,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR10,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR11,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR12,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR13,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR14,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR15,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR16,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR17,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR18,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR19,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR20,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR21,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR22,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR23,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR24,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
ELSELR25,20.3.1 Event output destination select register n (ELSELRn) (n = 00 to 25),Figure20-2FormatofEventoutputdestinationselectregistern(ELSELRn),,,
COMPMDR,16.3.2 Comparator mode setting register (COMPMDR),Figure16-3FormatofComparatormodesettingregister(COMPMDR),,,
C0ENB,16.3.2 Comparator mode setting register (COMPMDR),Figure16-3FormatofComparatormodesettingregister(COMPMDR),2,,
C0MON,16.3.2 Comparator mode setting register (COMPMDR),Figure16-3FormatofComparatormodesettingregister(COMPMDR),2,,
C1ENB,16.3.2 Comparator mode setting register (COMPMDR),Figure16-3FormatofComparatormodesettingregister(COMPMDR),2,,
C1MON,16.3.2 Comparator mode setting register (COMPMDR),Figure16-3FormatofComparatormodesettingregister(COMPMDR),2,,
COMPFIR,16.3.3 Comparator filter control register (COMPFIR),Figure16-4FormatofComparatorfiltercontrolregister(COMPFIR),,,
COMPOCR,16.3.4 Comparator output control register (COMPOCR),Figure16-5FormatofComparatoroutputcontrolregister(COMPOCR),,,
C0IE,16.3.4 Comparator output control register (COMPOCR),Figure16-5FormatofComparatoroutputcontrolregister(COMPOCR),2,,
C0OE,16.3.4 Comparator output control register (COMPOCR),Figure16-5FormatofComparatoroutputcontrolregister(COMPOCR),2,,
C0OP,16.3.4 Comparator output control register (COMPOCR),Figure16-5FormatofComparatoroutputcontrolregister(COMPOCR),2,,
